line,mating_status,fusion_id,c_i,T_i_1a,direction_cis,direction_trans
r427,M,S21256_SI,-0.215767276,-0.535012945,-,-
r491,M,S21256_SI,-1.051321627,1.0174025316,-,+
r502,M,S21256_SI,-0.207967513,-0.637984002,-,-
r517,M,S21256_SI,0.2956083873,0.2925167804,+,+
r732,M,S21256_SI,-0.327033447,1.7434445694,-,+
r799,M,S21256_SI,0.5295197106,0.1055764749,+,+
r810,M,S21256_SI,-0.412671946,-0.552121933,-,-
r820,M,S21256_SI,-0.565381306,1.988107952,-,+
r83,M,S21256_SI,-0.189331149,-0.504347638,-,-
r85,M,S21256_SI,-0.165454285,-0.552851727,-,-
r853,M,S21256_SI,-0.172108617,-0.631664984,-,-
r857,M,S21256_SI,0.2649959339,-0.295346926,+,-
r907,M,S21256_SI,-0.159443157,-0.670390879,-,-
w114,M,S21256_SI,0.307819889,-0.087826522,+,-
w38,M,S21256_SI,-0.188174484,-0.618833675,-,-
w47,M,S21256_SI,-0.178776531,-0.575994612,-,-
w52,M,S21256_SI,-0.241140441,-0.56859131,-,-
w55,M,S21256_SI,0.2583599211,0.1313080333,+,+
w59,M,S21256_SI,-0.205076072,-0.531533063,-,-
w64,M,S21256_SI,0.1984474318,0.0273419121,+,+
w67,M,S21256_SI,-0.248313425,0.0022046772,-,+
w68,M,S21256_SI,-0.309634179,1.4220159979,-,+
w76,M,S21256_SI,-0.026020734,0.0291588551,-,+
w79,M,S21256_SI,-0.280929993,-0.598697916,-,-
r101,V,S21256_SI,0.2678845882,0.0060978951,+,+
r136,V,S21256_SI,0.3285451264,0.0114133373,+,+
r208,V,S21256_SI,-0.151853148,-0.638257028,-,-
r21,V,S21256_SI,0.5921275241,-0.297684611,+,-
r217,V,S21256_SI,-0.069094527,-0.59220586,-,-
r280,V,S21256_SI,0.2812847104,-0.09799038,+,-
r287,V,S21256_SI,1.2736670776,1.8699499227,+,+
r309,V,S21256_SI,-0.07909768,-0.602839463,-,-
r315,V,S21256_SI,-0.143244137,-0.579705402,-,-
r324,V,S21256_SI,0.5596664917,0.1416118285,+,+
r335,V,S21256_SI,-0.090039552,0.8598159481,-,+
r340,V,S21256_SI,-0.157397901,1.1473656739,-,+
r350,V,S21256_SI,0.1382252204,-0.04983174,+,-
r357,V,S21256_SI,-0.21456142,-0.507542589,-,-
r358,V,S21256_SI,0.2463777538,-0.166708468,+,-
r360,V,S21256_SI,-0.294042883,-0.545741535,-,-
r362,V,S21256_SI,-0.148430959,-0.653651075,-,-
r365,V,S21256_SI,-0.314169704,-0.445482474,-,-
r373,V,S21256_SI,0.0029510423,-0.020613224,+,-
r374,V,S21256_SI,-0.2030644,1.0093309627,-,+
r380,V,S21256_SI,0.2038870128,-0.166846919,+,-
r392,V,S21256_SI,0.3889876161,0.097059079,+,+
r426,V,S21256_SI,0.8159183187,1.6051107256,+,+
r427,V,S21256_SI,-0.225255127,-0.532779995,-,-
r491,V,S21256_SI,-1.076446365,1.3079816867,-,+
r502,V,S21256_SI,-0.156890315,-0.686930933,-,-
r517,V,S21256_SI,0.2734019663,0.3754474948,+,+
r732,V,S21256_SI,0.1032793353,1.4703251572,+,+
r799,V,S21256_SI,0.3956388276,0.0919257788,+,+
r810,V,S21256_SI,-0.32394166,-0.581492477,-,-
r820,V,S21256_SI,-0.881417449,1.4271831141,-,+
r83,V,S21256_SI,-0.273912612,-0.561152317,-,-
r85,V,S21256_SI,-0.167318202,-0.544415609,-,-
r853,V,S21256_SI,-0.187015674,-0.615144928,-,-
r857,V,S21256_SI,0.4212280532,-0.033066075,+,-
r907,V,S21256_SI,-0.177911115,-0.693895128,-,-
w114,V,S21256_SI,0.4506119395,0.0725854561,+,+
w38,V,S21256_SI,-0.18470802,-0.644444776,-,-
w47,V,S21256_SI,-0.134575104,-0.614525925,-,-
w52,V,S21256_SI,-0.237503144,-0.597995012,-,-
w55,V,S21256_SI,0.0837280532,0.0483471352,+,+
w59,V,S21256_SI,-0.223099124,-0.626285356,-,-
w64,V,S21256_SI,0.1212280532,0.1113906135,+,+
w67,V,S21256_SI,-0.201140368,0.0836854811,-,+
w68,V,S21256_SI,-0.296354364,0.8549405418,-,+
w76,V,S21256_SI,-0.113387331,0.1626328495,-,+
w79,V,S21256_SI,-0.222766424,-0.656971384,-,-
r101,M,S21257_SI,0.0331345625,-0.149700474,+,-
r136,M,S21257_SI,0.0283068106,-0.189488593,+,-
r208,M,S21257_SI,0.0465329886,-0.110813852,+,-
r21,M,S21257_SI,-0.098951267,-0.138317382,-,-
r217,M,S21257_SI,0.0426536975,-0.137014159,+,-
r280,M,S21257_SI,0.0070056552,-0.110267976,+,-
r287,M,S21257_SI,0.0194064057,0.2016514306,+,+
r309,M,S21257_SI,0.1111003124,-0.184996035,+,-
r315,M,S21257_SI,-0.395748305,0.4757763615,-,+
r324,M,S21257_SI,0.135936667,-0.033497781,+,-
r335,M,S21257_SI,0.0547381065,0.1752786237,+,+
r340,M,S21257_SI,-0.17242966,0.9418322716,-,+
r350,M,S21257_SI,-0.158874965,0.1666300374,-,+
r357,M,S21257_SI,0.0452269046,-0.131328521,+,-
r358,M,S21257_SI,0.0416390225,-0.11625104,+,-
r360,M,S21257_SI,0.0378415292,0.0751462883,+,+
r362,M,S21257_SI,0.0588496177,-0.158211112,+,-
r365,M,S21257_SI,0.0618856329,0.0559065347,+,+
r373,M,S21257_SI,0.0452208934,-0.019628532,+,-
r374,M,S21257_SI,-0.008615594,0.0651748921,-,+
r380,M,S21257_SI,0.0666115795,-0.104186037,+,-
r392,M,S21257_SI,0.0412233059,-0.157869232,+,-
r426,M,S21257_SI,0.0967107879,0.0862726634,+,+
r427,M,S21257_SI,-0.171543018,0.0033835082,-,+
r443,M,S21257_SI,-0.035646155,-0.020498935,-,-
r491,M,S21257_SI,-0.269095556,0.4145376698,-,+
r502,M,S21257_SI,0.0381463828,-0.184137038,+,-
r517,M,S21257_SI,0.109765329,0.0750130186,+,+
r732,M,S21257_SI,-0.011660915,-0.043377164,-,-
r799,M,S21257_SI,0.0455700129,-0.145133287,+,-
r810,M,S21257_SI,0.0258027787,-0.148575258,+,-
r820,M,S21257_SI,-0.124210651,0.3430021948,-,+
r83,M,S21257_SI,0.0547897289,-0.120404748,+,-
r85,M,S21257_SI,0.0749140596,-0.040029294,+,-
r853,M,S21257_SI,0.0898150995,-0.149650227,+,-
r857,M,S21257_SI,-0.021426066,-0.142991677,-,-
r907,M,S21257_SI,-0.099591435,-0.028420903,-,-
w114,M,S21257_SI,0.0124647332,-0.166114984,+,-
w38,M,S21257_SI,0.1265875322,-0.069000471,+,-
w47,M,S21257_SI,0.0299532974,-0.146017157,+,-
w52,M,S21257_SI,-0.178466429,0.1865337856,-,+
w55,M,S21257_SI,0.0114107976,-0.105502854,+,-
w59,M,S21257_SI,0.0923002544,-0.013099671,+,-
w64,M,S21257_SI,0.0717104732,-0.076997267,+,-
w67,M,S21257_SI,0.0562222636,0.0788620583,+,+
w68,M,S21257_SI,-0.133534397,0.2421584026,-,+
w76,M,S21257_SI,-0.007133943,-0.142390521,-,-
w79,M,S21257_SI,0.073451135,-0.103247557,+,-
r101,V,S21257_SI,0.0325414336,-0.11065375,+,-
r136,V,S21257_SI,0.046775221,-0.126309755,+,-
r208,V,S21257_SI,0.0771757692,-0.100430185,+,-
r21,V,S21257_SI,-0.08506916,-0.149777702,-,-
r217,V,S21257_SI,0.0703723605,-0.1206862,+,-
r280,V,S21257_SI,0.0438770728,-0.126296967,+,-
r287,V,S21257_SI,0.0106493567,0.1096474851,+,+
r309,V,S21257_SI,0.0244276876,-0.084276734,+,-
r315,V,S21257_SI,-0.337425552,0.3786919134,-,+
r324,V,S21257_SI,0.1117973048,-0.015251803,+,-
r335,V,S21257_SI,0.0825055494,0.0721492065,+,+
r340,V,S21257_SI,-0.23794625,0.9665646363,-,+
r350,V,S21257_SI,-0.167280491,0.187182105,-,+
r357,V,S21257_SI,0.0508147996,-0.144931913,+,-
r358,V,S21257_SI,0.0551239893,-0.115251381,+,-
r360,V,S21257_SI,0.0238237592,0.1205888418,+,+
r362,V,S21257_SI,0.0732451279,-0.14354239,+,-
r365,V,S21257_SI,-0.018555199,0.1190932449,-,+
r373,V,S21257_SI,0.0721654147,0.0132348909,+,+
r374,V,S21257_SI,0.0101293131,0.1603157904,+,+
r380,V,S21257_SI,0.0589600246,-0.120129867,+,-
r392,V,S21257_SI,0.1424643814,-0.187316788,+,-
r426,V,S21257_SI,0.1097175783,0.0350644407,+,+
r427,V,S21257_SI,-0.152362421,-0.023870948,-,-
r443,V,S21257_SI,-0.045756874,0.0058673604,-,+
r491,V,S21257_SI,-0.21506714,0.3170483147,-,+
r502,V,S21257_SI,0.0603060841,-0.162614748,+,-
r517,V,S21257_SI,0.0995398509,0.0163128675,+,+
r732,V,S21257_SI,-0.035003217,-0.035174763,-,-
r799,V,S21257_SI,0.0652897347,-0.158617376,+,-
r810,V,S21257_SI,0.0044534548,-0.098681251,+,-
r820,V,S21257_SI,-0.218519839,0.3836463764,-,+
r83,V,S21257_SI,0.0471843998,-0.117307822,+,-
r85,V,S21257_SI,0.040024385,-0.03953403,+,-
r853,V,S21257_SI,0.0656478697,-0.157591165,+,-
r857,V,S21257_SI,0.0107084934,-0.154139152,+,-
r907,V,S21257_SI,-0.095756451,-0.018283102,-,-
w114,V,S21257_SI,0.0352929443,-0.187663013,+,-
w38,V,S21257_SI,0.1380673947,-0.071952916,+,-
w47,V,S21257_SI,0.0272125239,-0.138324849,+,-
w52,V,S21257_SI,-0.197420075,0.2131185345,-,+
w55,V,S21257_SI,0.0090712135,-0.121639505,+,-
w59,V,S21257_SI,0.0586669636,0.0208275901,+,+
w64,V,S21257_SI,0.0444370136,-0.057613508,+,-
w67,V,S21257_SI,-0.008797372,0.0292657819,-,+
w68,V,S21257_SI,-0.068358572,0.1456520441,-,+
w76,V,S21257_SI,0.0130312191,-0.128724295,+,-
w79,V,S21257_SI,0.0678189243,-0.077683545,+,-
r101,M,S21400_SI,0.0089865285,-0.260116679,+,-
r136,M,S21400_SI,-0.08481955,-0.119348986,-,-
r208,M,S21400_SI,-0.016438426,-0.216765263,-,-
r21,M,S21400_SI,0.0707807237,0.8069671253,+,+
r217,M,S21400_SI,0.0083413672,-0.088258,+,-
r280,M,S21400_SI,0.0232722427,-0.217395591,+,-
r287,M,S21400_SI,0.0001130931,-0.016383982,+,-
r309,M,S21400_SI,-0.026736742,0.326532018,-,+
r315,M,S21400_SI,-0.00602594,-0.11625253,-,-
r324,M,S21400_SI,-0.004114416,-0.215369299,-,-
r335,M,S21400_SI,0.0185848371,-0.231521089,+,-
r340,M,S21400_SI,0.0875669701,-0.033714396,+,-
r350,M,S21400_SI,0.0361137073,-0.249402547,+,-
r357,M,S21400_SI,-0.029742363,-0.20639561,-,-
r358,M,S21400_SI,0.013556553,-0.25053905,+,-
r360,M,S21400_SI,-0.008534133,-0.202627502,-,-
r362,M,S21400_SI,0.0018990105,-0.19988849,+,-
r365,M,S21400_SI,-0.019260894,-0.220371957,-,-
r373,M,S21400_SI,-0.106032308,0.4606016927,-,+
r374,M,S21400_SI,-0.160249664,0.7655382925,-,+
r380,M,S21400_SI,0.0077578595,-0.22848333,+,-
r392,M,S21400_SI,0.0681422013,0.4956214788,+,+
r426,M,S21400_SI,0.1928081845,0.206173888,+,+
r427,M,S21400_SI,-0.01075554,-0.213812345,-,-
r443,M,S21400_SI,-0.012533228,0.3301163502,-,+
r491,M,S21400_SI,-0.006228783,-0.224424418,-,-
r502,M,S21400_SI,0.114142974,-0.245066915,+,-
r517,M,S21400_SI,-0.023883484,0.3629120638,-,+
r732,M,S21400_SI,-0.033029694,0.4191991073,-,+
r737,M,S21400_SI,0.0395374034,-0.094278948,+,-
r799,M,S21400_SI,-0.018186215,-0.22849285,-,-
r810,M,S21400_SI,-0.020083766,-0.191908062,-,-
r820,M,S21400_SI,-0.027604723,0.4326391924,-,+
r83,M,S21400_SI,-0.059514353,0.1736752079,-,+
r85,M,S21400_SI,-0.006639018,-0.219886708,-,-
r853,M,S21400_SI,0.0294380807,-0.217593721,+,-
r857,M,S21400_SI,0.1387118032,0.3707990717,+,+
r907,M,S21400_SI,0.0426778036,-0.284750748,+,-
w114,M,S21400_SI,0.0207591037,-0.211140728,+,-
w38,M,S21400_SI,-0.001241485,-0.272314601,-,-
w47,M,S21400_SI,-0.137565334,0.6860388979,-,+
w52,M,S21400_SI,0.0049205944,-0.222058071,+,-
w55,M,S21400_SI,-0.030160264,-0.230141472,-,-
w59,M,S21400_SI,-0.014988737,-0.214754068,-,-
w64,M,S21400_SI,-0.000253552,0.4540332551,-,+
w67,M,S21400_SI,-0.011841972,-0.238403656,-,-
w68,M,S21400_SI,-0.038040499,0.4716722526,-,+
w76,M,S21400_SI,-0.024180485,-0.239734539,-,-
w79,M,S21400_SI,0.010574527,-0.140923746,+,-
r101,V,S21400_SI,-0.012631122,-0.199498179,-,-
r136,V,S21400_SI,-0.047663443,-0.167702452,-,-
r208,V,S21400_SI,-0.024275867,-0.172036598,-,-
r21,V,S21400_SI,-0.167761483,0.9612965165,-,+
r217,V,S21400_SI,-0.006888042,-0.12493343,-,-
r280,V,S21400_SI,0.0368964108,-0.179844086,+,-
r287,V,S21400_SI,0.0010043901,-0.01045,+,-
r309,V,S21400_SI,0.3213305506,0.3262717859,+,+
r315,V,S21400_SI,-0.003686419,-0.01276575,-,-
r324,V,S21400_SI,-0.010880323,-0.240370739,-,-
r335,V,S21400_SI,0.0188865825,-0.262573669,+,-
r340,V,S21400_SI,0.0571345364,-0.14929469,+,-
r350,V,S21400_SI,0.0354073637,-0.254705231,+,-
r357,V,S21400_SI,-0.039797271,-0.151010113,-,-
r358,V,S21400_SI,0.0109277881,-0.215273628,+,-
r360,V,S21400_SI,-0.037742808,-0.175054938,-,-
r362,V,S21400_SI,-0.026640371,-0.199302969,-,-
r365,V,S21400_SI,-0.0164163,-0.218619692,-,-
r373,V,S21400_SI,-0.029888743,0.3287195245,-,+
r374,V,S21400_SI,0.0903389207,0.3974493464,+,+
r380,V,S21400_SI,-0.011002338,-0.17553035,-,-
r392,V,S21400_SI,0.03566989,0.6465206061,+,+
r426,V,S21400_SI,0.0976176811,0.1250633485,+,+
r427,V,S21400_SI,-0.009064261,-0.214858301,-,-
r443,V,S21400_SI,0.0021223031,0.3231428112,+,+
r491,V,S21400_SI,0.0015657596,-0.203766105,+,-
r502,V,S21400_SI,-0.024159724,-0.186071382,-,-
r517,V,S21400_SI,0.1558009761,0.2315928373,+,+
r732,V,S21400_SI,-0.069772287,0.4101260483,-,+
r737,V,S21400_SI,0.039270713,-0.135078453,+,-
r799,V,S21400_SI,-0.002823613,-0.217767267,-,-
r810,V,S21400_SI,0.0350815288,-0.236326756,+,-
r820,V,S21400_SI,-0.101003712,0.4345464961,-,+
r83,V,S21400_SI,0.0493161782,0.0951585766,+,+
r85,V,S21400_SI,0.005190296,-0.248785559,+,-
r853,V,S21400_SI,0.0588461817,-0.310419617,+,-
r857,V,S21400_SI,-0.06937236,0.5948512392,-,+
r907,V,S21400_SI,-0.002822174,-0.191045531,-,-
w114,V,S21400_SI,0.0268458054,-0.252821464,+,-
w38,V,S21400_SI,0.0079803516,-0.236821803,+,-
w47,V,S21400_SI,-0.223161926,0.6809190209,-,+
w52,V,S21400_SI,-0.016895959,-0.209130101,-,-
w55,V,S21400_SI,-0.029511099,-0.215152066,-,-
w59,V,S21400_SI,-0.01284183,-0.209925893,-,-
w64,V,S21400_SI,-0.012835682,0.4020930479,-,+
w67,V,S21400_SI,-0.002980185,-0.255332443,-,-
w68,V,S21400_SI,-0.06331201,0.6270204984,-,+
w76,V,S21400_SI,0.0133788961,-0.260471039,+,-
w79,V,S21400_SI,-0.024781749,-0.092031409,-,-
r101,M,S21937_SI,0.0891728409,-0.725070588,+,-
r280,M,S21937_SI,-0.1560571,0.1181697906,-,+
r287,M,S21937_SI,-0.118181161,0.0415720463,-,+
r315,M,S21937_SI,0.0065751747,0.1483946584,+,+
r324,M,S21937_SI,-0.907654845,1.3836773094,-,+
r335,M,S21937_SI,0.0942507814,-1.339855661,+,-
r340,M,S21937_SI,0.2299206514,-0.616754097,+,-
r357,M,S21937_SI,-0.055023266,0.5795837422,-,+
r360,M,S21937_SI,0.4292963415,-0.618367959,+,-
r362,M,S21937_SI,0.0820381377,-0.400679416,+,-
r365,M,S21937_SI,0.1144455451,-1.386790527,+,-
r380,M,S21937_SI,0.3226516908,-0.39991629,+,-
r427,M,S21937_SI,-0.071117984,0.4629946714,-,+
r443,M,S21937_SI,-0.305579233,0.6182955452,-,+
r491,M,S21937_SI,0.365135622,-0.495071449,+,-
r502,M,S21937_SI,0.1476475904,-0.344916563,+,-
r799,M,S21937_SI,0.2635857567,-0.036363176,+,-
r810,M,S21937_SI,-0.044415351,0.2210906101,-,+
r820,M,S21937_SI,-0.101890434,0.3473364573,-,+
r83,M,S21937_SI,0.083745788,-1.277956283,+,-
r85,M,S21937_SI,0.158871471,-0.019901638,+,-
r853,M,S21937_SI,0.5195381377,0.2104316954,+,+
r907,M,S21937_SI,0.271013064,-0.49126447,+,-
w38,M,S21937_SI,0.2982737699,-0.150200489,+,-
w47,M,S21937_SI,-1.141403338,4.9543884384,-,+
w52,M,S21937_SI,0.0240291557,-1.224947546,+,-
w55,M,S21937_SI,0.2236063792,-0.241339958,+,-
w59,M,S21937_SI,0.4142749798,-0.081234971,+,-
w67,M,S21937_SI,-1.201476355,1.7593447389,-,+
w68,M,S21937_SI,-0.288587604,-0.843987047,-,-
w76,M,S21937_SI,0.0897135763,-0.313691112,+,-
w79,M,S21937_SI,0.163600216,0.1630295361,+,+
r101,V,S21937_SI,0.057687103,-0.352757152,+,-
r280,V,S21937_SI,0.4899800966,-0.773203012,+,-
r287,V,S21937_SI,0.1355356522,1.0734636543,+,+
r315,V,S21937_SI,0.2554186931,-0.170688392,+,-
r324,V,S21937_SI,-0.712290435,1.0843332196,-,+
r335,V,S21937_SI,0.0865807567,-1.559374629,+,-
r340,V,S21937_SI,0.0799800966,-0.208420404,+,-
r357,V,S21937_SI,0.0104148792,0.0002752485,+,+
r360,V,S21937_SI,0.2438219045,-0.396875329,+,-
r362,V,S21937_SI,0.0542069007,-0.430831878,+,-
r365,V,S21937_SI,0.0623589512,-1.468753673,+,-
r380,V,S21937_SI,0.1799800966,-0.477985621,+,-
r427,V,S21937_SI,-0.129855969,0.2158133811,-,+
r443,V,S21937_SI,0.2758563853,-0.17309992,+,-
r491,V,S21937_SI,0.1784256925,0.0790767804,+,+
r502,V,S21937_SI,0.2055340109,-0.643793854,+,-
r799,V,S21937_SI,-0.080162252,0.5126688738,-,+
r810,V,S21937_SI,0.0418848585,-0.376536346,+,-
r820,V,S21937_SI,0.0413327536,0.0118694514,+,+
r83,V,S21937_SI,0.0992108658,-1.356023525,+,-
r85,V,S21937_SI,0.2888408561,-0.058392886,+,-
r853,V,S21937_SI,-0.129543713,0.1377493686,-,+
r907,V,S21937_SI,0.7066467633,-0.136536346,+,-
w38,V,S21937_SI,0.4990782398,-0.267606195,+,-
w47,V,S21937_SI,-2.333813007,7.1453027348,-,+
w52,V,S21937_SI,0.0270389201,-1.404967718,+,-
w55,V,S21937_SI,0.0837536815,-0.046976597,+,-
w59,V,S21937_SI,0.7974942209,-0.532468549,+,-
w67,V,S21937_SI,-0.763769903,0.740130321,-,+
w68,V,S21937_SI,-0.318941736,-0.743472554,-,-
w76,V,S21937_SI,-0.265474449,0.4961909271,-,+
w79,V,S21937_SI,-0.167210915,0.0818906206,-,+
r208,M,S22123_SI,0.2626588255,-0.126276201,+,-
r315,M,S22123_SI,-0.617167042,1.2046322653,-,+
r324,M,S22123_SI,-0.667952492,1.3253941273,-,+
r335,M,S22123_SI,-0.355822887,0.26502592,-,+
r357,M,S22123_SI,-0.264114071,0.0644358291,-,+
r380,M,S22123_SI,0.1763583425,-0.555960977,+,-
r427,M,S22123_SI,0.1642546316,-0.563229158,+,-
r491,M,S22123_SI,0.2013395413,-0.562057733,+,-
r517,M,S22123_SI,0.1552686446,-0.53173701,+,-
r732,M,S22123_SI,0.2566159762,0.9979684431,+,+
r799,M,S22123_SI,0.11115963,-0.463924292,+,-
r820,M,S22123_SI,0.1646565182,-0.478604818,+,-
w38,M,S22123_SI,0.1547363017,-0.520685736,+,-
w47,M,S22123_SI,0.0209317271,0.0418352716,+,+
w52,M,S22123_SI,0.1565838374,-0.523180699,+,-
w55,M,S22123_SI,0.1322454801,-0.044963028,+,-
w59,M,S22123_SI,-0.001768392,0.0983864464,-,+
w64,M,S22123_SI,-0.286052677,0.5254802069,-,+
w68,M,S22123_SI,0.23585344,0.5499783892,+,+
w76,M,S22123_SI,-0.163066498,-0.13388926,-,-
w79,M,S22123_SI,0.1632811642,-0.568627986,+,-
r208,V,S22123_SI,0.1935166657,-0.069372398,+,-
r315,V,S22123_SI,-0.736431293,1.4275376686,-,+
r324,V,S22123_SI,-0.625253091,1.1855368865,-,+
r335,V,S22123_SI,-0.389233917,0.3711870425,-,+
r357,V,S22123_SI,-0.258179786,0.1002727716,-,+
r380,V,S22123_SI,0.1397758256,-0.45916534,+,-
r427,V,S22123_SI,0.1746905844,-0.499895579,+,-
r491,V,S22123_SI,0.1818363171,-0.541936066,+,-
r517,V,S22123_SI,0.1980081092,-0.589470186,+,-
r732,V,S22123_SI,0.1408942881,0.9686229399,+,+
r799,V,S22123_SI,0.1712540531,-0.475870452,+,-
r820,V,S22123_SI,0.1692276214,-0.46737706,+,-
w38,V,S22123_SI,0.1902723975,-0.539834772,+,-
w47,V,S22123_SI,0.0662400696,-0.005235981,+,-
w52,V,S22123_SI,0.2257826453,-0.468219165,+,-
w55,V,S22123_SI,0.158096801,0.0180686162,+,+
w59,V,S22123_SI,0.064321961,-0.118169513,+,-
w64,V,S22123_SI,-0.23196896,0.4686229399,-,+
w68,V,S22123_SI,0.1676486741,0.2738860978,+,+
w76,V,S22123_SI,-0.171185815,-0.059542435,-,-
w79,V,S22123_SI,0.1706868489,-0.519646016,+,-
r324,M,S22212_SI,-0.128740277,-0.068595572,-,-
r357,M,S22212_SI,-0.059069128,0.2555092756,-,+
r365,M,S22212_SI,0.0248148639,0.0438679046,+,+
r373,M,S22212_SI,-0.011374317,0.1807045708,-,+
r380,M,S22212_SI,0.0258534014,-0.086327986,+,-
r491,M,S22212_SI,0.0201316388,0.2837810438,+,+
r517,M,S22212_SI,0.0644732637,-0.350423408,+,-
w38,M,S22212_SI,0.0426858377,-0.117059523,+,-
w52,M,S22212_SI,-0.068200032,0.1450331414,-,+
w55,M,S22212_SI,0.0035429208,0.0010585773,+,+
w59,M,S22212_SI,0.0287225087,-0.048817591,+,-
w64,M,S22212_SI,0.0415151294,-0.068710979,+,-
w68,M,S22212_SI,0.0115588546,-0.090014653,+,-
w79,M,S22212_SI,0.0040853356,-0.080004801,+,-
r324,V,S22212_SI,-0.096261973,-0.133279598,-,-
r357,V,S22212_SI,-0.074774855,0.2515568824,-,+
r365,V,S22212_SI,0.0000219098,0.133203817,+,+
r373,V,S22212_SI,0.0183359465,0.1047214228,+,+
r380,V,S22212_SI,0.027792482,-0.072378708,+,-
r491,V,S22212_SI,0.0101215442,0.2202116553,+,+
r517,V,S22212_SI,0.0581826971,-0.333750493,+,-
w38,V,S22212_SI,-0.002187227,-0.076877657,-,-
w52,V,S22212_SI,-0.049391411,0.1926070288,-,+
w55,V,S22212_SI,-0.009653783,-0.0064465,-,-
w59,V,S22212_SI,0.0172346856,-0.055897486,+,-
w64,V,S22212_SI,0.0334017484,-0.047036911,+,-
w68,V,S22212_SI,0.0274669838,-0.081938489,+,-
w79,V,S22212_SI,0.0397112516,-0.094694966,+,-
r217,M,S22261_SI,0.0449517578,0.4664510574,+,+
r315,M,S22261_SI,0.1657122473,-0.473758733,+,-
r335,M,S22261_SI,0.0938488166,-0.47766659,+,-
r358,M,S22261_SI,0.2141764413,-0.572156537,+,-
r360,M,S22261_SI,0.1198637296,-0.523924529,+,-
r373,M,S22261_SI,-0.658508986,1.2172775037,-,+
r380,M,S22261_SI,-0.130676549,0.7344404754,-,+
r732,M,S22261_SI,-0.117031325,0.729984892,-,+
r737,M,S22261_SI,0.2337933808,-0.547423288,+,-
r85,M,S22261_SI,-0.094068512,0.4876222286,-,+
w38,M,S22261_SI,0.1187304934,-0.453663885,+,-
w67,M,S22261_SI,-0.007373121,-0.316399184,-,-
w68,M,S22261_SI,-0.141717317,0.2644279361,-,+
w79,M,S22261_SI,0.1582989445,-0.535211347,+,-
r217,V,S22261_SI,-0.11460669,0.5743954951,-,+
r315,V,S22261_SI,0.1139240226,-0.415617738,+,-
r335,V,S22261_SI,0.0402943585,-0.385394284,+,-
r358,V,S22261_SI,0.1622880936,-0.518309958,+,-
r360,V,S22261_SI,0.0402943585,-0.385394284,+,-
r373,V,S22261_SI,-0.100831092,0.2038097242,-,+
r380,V,S22261_SI,-0.122081036,0.5535348896,-,+
r732,V,S22261_SI,-0.285699127,0.8875047388,-,+
r737,V,S22261_SI,0.1936021832,-0.521490894,+,-
r85,V,S22261_SI,-0.040504322,0.8150372064,-,+
w38,V,S22261_SI,0.1887176992,-0.476587039,+,-
w67,V,S22261_SI,0.0754831392,-0.494859793,+,-
w68,V,S22261_SI,-0.276529166,0.6439474266,-,+
w79,V,S22261_SI,0.125647578,-0.48057549,+,-
r101,M,S22384_SI,0.0197055746,-0.314669693,+,-
r208,M,S22384_SI,0.175783566,-0.031093607,+,-
r217,M,S22384_SI,0.0329517822,-0.398457754,+,-
r315,M,S22384_SI,-0.273720416,0.5546125023,-,+
r335,M,S22384_SI,-0.09904518,-0.220025327,-,-
r340,M,S22384_SI,-0.011286382,-0.15235634,-,-
r350,M,S22384_SI,0.0456608503,-0.0456076,+,-
r357,M,S22384_SI,-0.007773435,-0.092258507,-,-
r358,M,S22384_SI,0.0876771558,0.5934458894,+,+
r362,M,S22384_SI,0.022256595,-0.350534482,+,-
r365,M,S22384_SI,0.0444528567,-0.163563456,+,-
r373,M,S22384_SI,0.0414873643,0.1479480461,+,+
r374,M,S22384_SI,0.022256595,-0.397354726,+,-
r380,M,S22384_SI,0.0675321856,-0.320896594,+,-
r491,M,S22384_SI,0.1500861556,0.3070116024,+,+
r517,M,S22384_SI,-0.102230409,0.0052233802,-,+
r737,M,S22384_SI,0.1128077761,-0.301211554,+,-
r799,M,S22384_SI,-0.014661543,0.5646584424,-,+
r820,M,S22384_SI,-0.072083028,0.071962318,-,+
r83,M,S22384_SI,0.0475091203,-0.301012715,+,-
r853,M,S22384_SI,0.1458521006,1.2564722466,+,+
w38,M,S22384_SI,-0.245955326,0.0870399972,-,+
w47,M,S22384_SI,-0.139857942,-0.062628877,-,-
w59,M,S22384_SI,0.0263106491,-0.295061309,+,-
w64,M,S22384_SI,0.003506595,-0.140753877,+,-
w76,M,S22384_SI,0.0558700404,-0.204925796,+,-
w79,M,S22384_SI,-0.135093301,0.2040377897,-,+
r101,V,S22384_SI,0.074128949,-0.304346694,+,-
r208,V,S22384_SI,0.1181124107,-0.050830868,+,-
r217,V,S22384_SI,0.0435000076,-0.391993659,+,-
r315,V,S22384_SI,-0.259250773,0.5509601763,-,+
r335,V,S22384_SI,-0.144778934,-0.120665123,-,-
r340,V,S22384_SI,-0.236475983,0.3431772287,-,+
r350,V,S22384_SI,0.0579578853,0.0522154891,+,+
r357,V,S22384_SI,-0.004636981,-0.079152036,-,-
r358,V,S22384_SI,0.2272189399,0.3820213652,+,+
r362,V,S22384_SI,0.0429590365,-0.392671359,+,-
r365,V,S22384_SI,0.0580123784,-0.177181304,+,-
r373,V,S22384_SI,-0.082577925,0.0752440822,-,+
