line,mating_status,fusion_id,c_i,T_i_1a,direction_cis,direction_trans
r820,M,F10806_SI,0.0066461407,-0.071155351,+,-
w38,M,F10806_SI,0.0110722701,-0.081669528,+,-
w52,M,F10806_SI,0.0051918015,-0.064473035,+,-
w55,M,F10806_SI,-0.020844909,-0.026128661,-,-
w59,M,F10806_SI,0.0127085671,-0.077754052,+,-
w64,M,F10806_SI,0.0215732426,-0.045828022,+,-
w79,M,F10806_SI,-0.018569675,-0.0063788,-,-
r101,V,F10806_SI,0.016715477,-0.060372721,+,-
r208,V,F10806_SI,0.0073150882,-0.053315469,+,-
r280,V,F10806_SI,0.0078700887,-0.04407471,+,-
r315,V,F10806_SI,0.0099205522,0.085101421,+,+
r324,V,F10806_SI,-0.027230286,-0.017691875,-,-
r350,V,F10806_SI,0.0216407409,-0.057054429,+,-
r358,V,F10806_SI,0.0073117556,-0.04896647,+,-
r360,V,F10806_SI,-0.012561665,-0.047212283,-,-
r362,V,F10806_SI,0.0060550024,0.1199056757,+,+
r365,V,F10806_SI,-0.012039777,0.1710753084,-,+
r374,V,F10806_SI,-0.010021767,-0.037384108,-,-
r427,V,F10806_SI,-0.013010589,-0.016267531,-,-
r491,V,F10806_SI,0.0195026003,-0.071918488,+,-
r517,V,F10806_SI,-0.012798256,0.2057718121,-,+
r799,V,F10806_SI,-0.016175935,0.202069786,-,+
r820,V,F10806_SI,0.0132093822,-0.067403077,+,-
w38,V,F10806_SI,-0.001974234,-0.059917201,-,-
w52,V,F10806_SI,-0.014716218,-0.027506433,-,-
w55,V,F10806_SI,-0.019251919,-0.023801487,-,-
w59,V,F10806_SI,0.0144667132,-0.080183184,+,-
w64,V,F10806_SI,0.0285764142,-0.050229333,+,-
w79,V,F10806_SI,-0.012803169,-0.020625204,-,-
r101,M,F1101_SI,0.0252354854,-0.097299891,+,-
r136,M,F1101_SI,0.0069907104,0.0624362963,+,+
r208,M,F1101_SI,0.0092158109,-0.015546744,+,-
r21,M,F1101_SI,-0.006389486,-0.041021643,-,-
r217,M,F1101_SI,0.0119423026,-0.024882079,+,-
r280,M,F1101_SI,0.0130093731,0.1254213606,+,+
r287,M,F1101_SI,0.0594696741,0.0798989357,+,+
r315,M,F1101_SI,-0.015396177,0.0657145802,-,+
r324,M,F1101_SI,0.0022100698,-0.077292964,+,-
r335,M,F1101_SI,0.0003032518,-0.063722474,+,-
r340,M,F1101_SI,0.0112780737,-0.101362245,+,-
r357,M,F1101_SI,-0.071406465,0.4843427181,-,+
r358,M,F1101_SI,-0.015909853,-0.056326645,-,-
r360,M,F1101_SI,0.0003131465,-0.081779267,+,-
r362,M,F1101_SI,-0.027219327,-0.04708498,-,-
r365,M,F1101_SI,-0.017812118,-0.074471059,-,-
r373,M,F1101_SI,0.0155261111,-0.081481777,+,-
r374,M,F1101_SI,0.0304005172,-0.053863946,+,-
r380,M,F1101_SI,-0.013654087,-0.051691762,-,-
r392,M,F1101_SI,0.0181877408,-0.082670765,+,-
r427,M,F1101_SI,-0.015771648,0.1480028844,-,+
r443,M,F1101_SI,0.0115745692,-0.060535595,+,-
r491,M,F1101_SI,0.0011554245,-0.063616163,+,-
r517,M,F1101_SI,0.0274480614,0.5427307618,+,+
r732,M,F1101_SI,-0.016823638,-0.03725216,-,-
r737,M,F1101_SI,0.005411968,-0.063646121,+,-
r799,M,F1101_SI,-0.00488225,-0.08557874,-,-
r810,M,F1101_SI,0.0116085211,-0.083456197,+,-
r820,M,F1101_SI,-0.033396557,0.1236910589,-,+
r83,M,F1101_SI,0.0041227599,0.1585328131,+,+
r85,M,F1101_SI,0.0301001981,-0.082347559,+,-
r853,M,F1101_SI,0.0061829388,-0.078851055,+,-
r857,M,F1101_SI,0.0011095495,-0.132441073,+,-
r907,M,F1101_SI,0.0013197558,-0.066530107,+,-
w114,M,F1101_SI,-0.021120635,-0.093932093,-,-
w38,M,F1101_SI,0.0165728689,0.0512985827,+,+
w52,M,F1101_SI,-0.000175647,-0.075661617,-,-
w55,M,F1101_SI,-0.006234116,0.1227143097,-,+
w59,M,F1101_SI,-0.020549342,0.1634640825,-,+
w64,M,F1101_SI,0.0028259978,-0.064016037,+,-
w67,M,F1101_SI,-0.026586225,-0.043026363,-,-
w68,M,F1101_SI,0.002724805,-0.079760677,+,-
w76,M,F1101_SI,-0.012912113,-0.067098587,-,-
r101,V,F1101_SI,0.0090503991,-0.08801446,+,-
r136,V,F1101_SI,0.0025386229,0.0837323588,+,+
r208,V,F1101_SI,0.0035240698,-0.022560427,+,-
r21,V,F1101_SI,-0.021467147,-0.030289895,-,-
r217,V,F1101_SI,0.0127583481,-0.074890176,+,-
r280,V,F1101_SI,-0.021042116,0.1355005321,-,+
r287,V,F1101_SI,-0.014691385,0.0385339674,-,+
r315,V,F1101_SI,0.005853113,0.0559109454,+,+
r324,V,F1101_SI,0.0101922875,-0.086465311,+,-
r335,V,F1101_SI,-0.012081806,-0.069853874,-,-
r340,V,F1101_SI,0.0069246023,-0.100942575,+,-
r357,V,F1101_SI,-0.076952485,0.4599022178,-,+
r358,V,F1101_SI,-0.008564159,-0.051337999,-,-
r360,V,F1101_SI,-0.006723348,-0.063883773,-,-
r362,V,F1101_SI,-0.018395313,-0.064064313,-,-
r365,V,F1101_SI,-0.001152104,-0.096230956,-,-
r373,V,F1101_SI,0.0101979859,-0.070719571,+,-
r374,V,F1101_SI,-0.006736858,-0.009376804,-,-
r380,V,F1101_SI,0.0011075798,-0.060232862,+,-
r392,V,F1101_SI,0.023246292,-0.093700398,+,-
r427,V,F1101_SI,-0.003245866,0.1413728355,-,+
r443,V,F1101_SI,-0.013285543,-0.007538365,-,-
r491,V,F1101_SI,-0.000159348,-0.067004871,-,-
r517,V,F1101_SI,0.047738225,0.5579477263,+,+
r732,V,F1101_SI,-0.019247306,-0.056353147,-,-
r737,V,F1101_SI,-0.005535933,-0.0348324,-,-
r799,V,F1101_SI,0.0035752283,-0.095440802,+,-
r810,V,F1101_SI,-0.015650152,-0.005383101,-,-
r820,V,F1101_SI,-0.007749563,0.0960810428,-,+
